DATE,city,precipitation
2019-01-03,SEA,0.42
2019-01-04,ATL,1.44
2019-01-04,SEA,0.55
2019-01-05,ATL,0.0
2019-01-05,SEA,0.24666666666666667
2019-01-06,ATL,0.0
2019-01-06,SEA,0.8133333333333334
2019-01-07,ATL,0.0
2019-01-07,SEA,0.6074999999999999
2019-01-08,ATL,0.0
2019-01-08,SEA,0.02
2019-01-09,ATL,0.0
2019-01-09,SEA,0.35
2019-01-10,ATL,0.0
2019-01-10,SEA,0.32
2019-01-11,ATL,0.0
2019-01-11,SEA,0.03
2019-01-12,ATL,0.35
2019-01-12,SEA,0.0
2019-01-13,ATL,0.27
2019-01-13,SEA,0.0
2019-01-14,ATL,0.0
2019-01-14,SEA,0.0
2019-01-15,ATL,0.0
2019-01-15,SEA,0.0
2019-01-16,ATL,0.0
2019-01-16,SEA,0.0
2019-01-17,ATL,0.1
2019-01-17,SEA,0.12
2019-01-18,ATL,0.0
2019-01-18,SEA,0.15
2019-01-19,ATL,1.22
2019-01-19,SEA,0.28
2019-01-20,ATL,0.0
2019-01-20,SEA,0.04
2019-01-21,ATL,0.0
2019-01-21,SEA,0.0
2019-01-22,ATL,0.0
2019-01-22,SEA,0.01
2019-01-23,ATL,1.71
2019-01-23,SEA,0.7
2019-01-24,ATL,0.11
2019-01-24,SEA,0.29333333333333333
2019-01-25,ATL,0.0
2019-01-25,SEA,0.18666666666666668
2019-01-26,ATL,0.0
2019-01-26,SEA,0.02
2019-01-27,ATL,0.0
2019-01-27,SEA,0.0
2019-01-28,ATL,0.0
2019-01-28,SEA,0.0
2019-01-29,ATL,0.17
2019-01-29,SEA,0.0
2019-01-30,ATL,0.0
2019-01-30,SEA,0.0
2019-01-31,ATL,0.0
2019-01-31,SEA,0.0
2019-02-01,ATL,0.0
2019-02-01,SEA,0.16
2019-02-02,ATL,0.0
2019-02-02,SEA,0.35
2019-02-03,ATL,0.04
2019-02-03,SEA,0.04
2019-02-04,ATL,0.0
2019-02-04,SEA,0.35
2019-02-05,ATL,0.0
2019-02-05,SEA,0.02
2019-02-06,ATL,0.1
2019-02-06,SEA,0.0
2019-02-07,ATL,0.0
2019-02-07,SEA,0.0
2019-02-08,ATL,0.01
2019-02-08,SEA,0.0
2019-02-09,ATL,0.0
2019-02-09,SEA,1.12
2019-02-10,ATL,0.09
2019-02-10,SEA,0.0
2019-02-11,ATL,0.03
2019-02-11,SEA,0.7
2019-02-12,ATL,0.48
2019-02-12,SEA,1.02
2019-02-13,ATL,0.0
2019-02-13,SEA,0.15
2019-02-14,ATL,0.0
2019-02-14,SEA,0.0
2019-02-15,ATL,0.26
2019-02-15,SEA,0.19
2019-02-16,ATL,0.12
2019-02-16,SEA,0.02
2019-02-17,ATL,0.08
2019-02-17,SEA,0.39
2019-02-18,ATL,0.06
2019-02-18,SEA,0.02
2019-02-19,ATL,0.77
2019-02-19,SEA,0.07
2019-02-20,ATL,1.25
2019-02-20,SEA,0.27
2019-02-21,ATL,0.21
2019-02-21,SEA,0.03
2019-02-22,ATL,0.0
2019-02-22,SEA,0.0
2019-02-23,ATL,0.0
2019-02-23,SEA,0.0
2019-02-24,ATL,0.31
2019-02-24,SEA,0.095
2019-02-25,ATL,0.0
2019-02-25,SEA,0.07
2019-02-26,ATL,0.0
2019-02-26,SEA,0.005
2019-02-27,ATL,0.01
2019-02-27,SEA,0.25333333333333335
2019-02-28,ATL,0.32
2019-02-28,SEA,0.6366666666666666
2019-03-01,ATL,0.0
2019-03-01,SEA,0.0
2019-03-02,ATL,0.0
2019-03-02,SEA,0.0
2019-03-03,ATL,1.13
2019-03-03,SEA,0.0
2019-03-04,ATL,0.0
2019-03-04,SEA,0.0
2019-03-05,ATL,0.0
2019-03-05,SEA,0.0
2019-03-06,ATL,0.0
2019-03-06,SEA,0.0
2019-03-07,ATL,0.0
2019-03-07,SEA,0.27
2019-03-08,ATL,0.01
2019-03-08,SEA,0.03
2019-03-09,ATL,0.0
2019-03-09,SEA,0.08
2019-03-10,ATL,0.01
2019-03-10,SEA,0.0
2019-03-11,ATL,0.06
2019-03-11,SEA,0.0
2019-03-12,ATL,0.0
2019-03-12,SEA,0.76
2019-03-13,ATL,0.0
2019-03-13,SEA,0.19
2019-03-14,ATL,0.01
2019-03-14,SEA,0.0
2019-03-15,ATL,0.47
2019-03-15,SEA,0.0
2019-03-16,ATL,0.0
2019-03-16,SEA,0.0
2019-03-17,ATL,0.0
2019-03-17,SEA,0.0
2019-03-18,ATL,0.0
2019-03-18,SEA,0.0
2019-03-19,ATL,0.0
2019-03-19,SEA,0.0
2019-03-20,ATL,0.0
2019-03-20,SEA,0.0
2019-03-21,ATL,0.0
2019-03-21,SEA,0.0
2019-03-22,ATL,0.0
2019-03-22,SEA,0.0
2019-03-23,ATL,0.0
2019-03-23,SEA,0.01
2019-03-24,ATL,0.0
2019-03-24,SEA,0.0
2019-03-25,ATL,0.34
2019-03-25,SEA,0.0
2019-03-26,ATL,0.04
2019-03-26,SEA,0.21
2019-03-27,ATL,0.0
2019-03-27,SEA,0.0
2019-03-28,ATL,0.0
2019-03-28,SEA,0.0
2019-03-29,ATL,0.0
2019-03-29,SEA,0.0
2019-03-30,ATL,0.0
2019-03-30,SEA,0.0
2019-03-31,ATL,0.1
2019-03-31,SEA,0.0
2019-04-01,ATL,0.0
2019-04-01,SEA,0.0
2019-04-02,ATL,0.0
